start,end,id,v,a,d,emotion,emo_evo,signal,transcription,path_to_wav
97.94,102.19,Ses01F_impro02_F010,2.0,1.5,2.0,sad,"[['sad'], ['sad'], ['sad'], ['fru']]",[-25 -21 -10 ...  -4  14  28],things just aren't what they seem.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
117.83,120.8605,Ses01F_impro02_F012,3.5,2.0,1.5,sad,"[['sad'], ['neu'], ['sad'], ['sad']]",[82 75 80 ... 63 70 66],"If not me then, who?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
127.82,133.9455,Ses01F_impro02_F013,1.5,2.0,2.0,sad,"[['sad'], ['sad'], ['sad'], ['sad', 'fea']]",[-90 -76 -65 ... -42 -70 -91],"You'll videotape everything, yeah?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
139.03,146.43,Ses01F_impro02_F014,1.5,2.0,2.0,sad,"[['sad'], ['sad'], ['sad'], ['sad', 'hap']]",[-36 -27 -29 ... -42 -76 -84],"Maybe you can send it to me, like stream it, yeah?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
151.4221,155.01,Ses01F_impro02_F015,2.0,2.5,2.5,sad,"[['sad'], ['sad'], ['sad'], ['sad']]",[-33 -31 -14 ... -20 -11   9],Last month--  Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
163.54,165.73,Ses01F_impro02_F016,2.0,1.0,2.5,neu,"[['sad'], ['neu'], ['neu'], ['sad']]",[ -93  -89  -94 ... -116 -121 -124],I have to find sitters.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
169.36,176.015,Ses01F_impro02_F017,3.5,3.0,2.5,sad,"[['sad'], ['sad'], ['sad'], ['sad', 'fea']]",[ -35  -68  -82 ... -262 -144   -1],"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
176.08,179.13,Ses01F_impro02_F018,2.5,2.5,2.5,neu,"[['sad'], ['neu'], ['neu'], ['sad']]",[119  60   4 ...  48  31  30],And your mother is close by.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
182.83,185.8894,Ses01F_impro02_F019,2.5,1.5,2.0,sad,"[['sad'], ['sad'], ['sad'], ['sad', 'fea']]",[-164 -178 -197 ...  -53  -40  -38],I'll send you lots of letters.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
186.58,191.11,Ses01F_impro02_F020,4.0,2.0,2.5,sad,"[['sad'], ['sad'], ['sad'], ['sad', 'fea']]",[ 15  22  26 ... -20  41  12],And I want lots and lots and lots of pictures.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
21.76,27.5558,Ses01F_impro02_M001,2.0,2.5,2.5,sad,"[['sad'], ['fru', 'sad'], ['neu'], ['sad']]",[118 100  97 ...  33  31  38],"I don't understand.  You've already done so much, I don't know why do you have to go back.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
69.34,74.29,Ses01F_impro02_M005,2.0,3.0,1.5,sad,"[['sad'], ['fru', 'sad'], ['oth'], ['fru', 'sad']]",[-132 -131 -146 ... 4556 3872 2657],I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
114.1775,117.85,Ses01F_impro02_M009,2.0,1.5,2.5,sad,"[['sad'], ['sad'], ['fru'], ['sad']]",[-51 -42 -41 ... -23 -13  -5],I just don't see why it has to be you.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
120.4105,124.63,Ses01F_impro02_M010,2.0,2.0,1.5,sad,"[['sad'], ['sad', 'fea'], ['fru'], ['sad']]",[-82 -72 -64 ...  10  13   2],What am I going to do? Huh?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
133.88,137.1,Ses01F_impro02_M011,2.5,1.5,2.5,sad,"[['sad'], ['sad'], ['neu'], ['sad']]",[ -53  -52  -83 ...  -77  -88 -108],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
147.03,151.7101,Ses01F_impro02_M012,2.5,2.0,2.0,neu,"[['sad'], ['neu'], ['neu'], ['sad']]",[ 131  107   69 ... -217 -177 -167],Don't you guys have access to computers over there.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
157.98,162.71,Ses01F_impro02_M013,1.5,2.0,2.0,sad,"[['sad'], ['sad', 'fea'], ['sad'], ['sad']]",[  33   47   57 ... -179 -198 -203],I just don't know how I'm going to do it without you.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
164.885,169.5,Ses01F_impro02_M014,1.5,3.0,1.5,sad,"[['sad'], ['fea'], ['sad'], ['sad']]",[-468 -266 -155 ...  -12   36    0],I can't raise a baby by myself.  How?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
175.47,176.72,Ses01F_impro02_M015,3.0,3.0,1.5,neu,"[['sad'], ['neu'], ['neu'], ['sad']]",[-39   3   7 ... 581 428 237],I know.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
74.2675,78.8425,Ses01F_impro03_F015,4.6667,3.6667,3.0,exc,"[['exc'], ['exc'], ['exc', 'hap'], ['hap']]",[ -584  -540  -430 ... -1600 -1154  -715],"Yeah, so [LAUGHTER] He's calling me now",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
82.0975,85.08,Ses01F_impro03_F017,3.6667,2.6667,2.3333,neu,"[['exc'], ['neu'], ['neu'], ['hap']]",[449 492 463 ... 142 128 126],"Uh, I think seven hundred and fifty dollars.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
85.1,88.0225,Ses01F_impro03_F018,3.6667,3.0,2.0,neu,"[['hap'], ['neu'], ['neu'], ['hap']]",[-173 -171 -167 ...   44   39   45],Penny slots. That's what he plays.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
88.08,89.5,Ses01F_impro03_F019,3.6667,2.3333,2.0,neu,"[['hap'], ['neu'], ['neu'], ['hap']]",[-19 -19  -8 ... 358 365 389],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
99.7775,102.03,Ses01F_impro03_F022,3.3333,2.6667,2.0,neu,"[['neu'], ['neu'], ['neu'], ['hap']]",[-186 -147 -121 ...  458  420   64],Fifty bucks. Mmhmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
102.62,103.4625,Ses01F_impro03_F023,3.0,2.3333,2.0,neu,"[['hap'], ['neu'], ['neu'], ['hap']]",[-292 -348 -352 ...   11   35   44],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
3.24,5.46,Ses01F_impro03_M000,4.0,3.0,2.6667,neu,"[['hap'], ['neu'], ['neu'], ['exc']]",[-19 -32 -37 ... -14 -48 -74],So what's up?  What's new?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
6.6,8.66,Ses01F_impro03_M001,4.3333,2.6667,2.3333,neu,"[['sur'], ['neu'], ['neu'], ['exc']]",[-2998 -3038 -3126 ...  -303   -97    42],Yeah.  I heard.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
14.93,18.9075,Ses01F_impro03_M003,5.0,4.6667,3.0,exc,"[['exc'], ['sur'], ['exc', 'hap'], ['exc']]",[-256 -305 -237 ... -233 -105 -106],Who did you marry?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
34.25,36.34,Ses01F_impro03_M006,4.0,2.6667,2.3333,neu,"[['hap'], ['neu'], ['neu'], ['hap']]",[ 1399  1404  1193 ... -4278 -5752 -6830],He turned to you and was like...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
42.09,43.41,Ses01F_impro03_M008,4.0,2.6667,2.0,neu,"[['hap'], ['neu'], ['neu'], ['neu']]",[ 1109  1433  1718 ...  -115 -1297 -1657],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
44.16,49.07,Ses01F_impro03_M009,3.6667,2.3333,2.3333,neu,"[['exc'], ['neu'], ['neu'], ['neu']]",[105 125 145 ... -80 -77 -30],"Does that mean that you're going to get citizenship, too, in- in England or whatever?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
52.92,56.85,Ses01F_impro03_M011,3.6667,3.6667,2.6667,neu,"[['hap'], ['neu'], ['neu'], ['neu']]",[-517 -393 -254 ... 3375 4114 4587],Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
80.7175,82.5225,Ses01F_impro03_M016,3.6667,2.6667,2.6667,neu,"[['hap'], ['neu'], ['neu'], ['neu']]",[ 58  53  83 ...   3 -13 -32],How much did he win at the slot?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
89.12,93.91,Ses01F_impro03_M019,3.0,3.0,2.3333,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 138  144  152 ... 3081 2968 2722],I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
97.03,101.65,Ses01F_impro03_M020,3.3333,3.0,2.6667,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-2075 -1605  -436 ...   104   145   137],"But the pennies always get you because you end up spending like, you know, fifty bucks.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
101.67,104.35,Ses01F_impro03_M021,3.0,3.3333,2.6667,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[48 55 60 ...  7 13 20],"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
105.29,106.95,Ses01F_impro03_M022,4.0,3.3333,2.6667,exc,"[['exc'], ['exc'], ['exc'], ['hap']]",[ -875 -1788 -1876 ... -3401 -2957 -1471],Awesome.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
117.36,119.58,Ses01F_impro03_M024,3.6667,2.6667,2.3333,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[115 136 158 ...  23   3 -49],That's fair enough.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
7.2455,11.64,Ses01F_impro04_F000,3.0,3.0,3.0,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[  60   59   91 ... -322 -371 -399],"Uh, what?  Craig's List?  Oh the internet thing?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
11.7448,16.15,Ses01F_impro04_F001,2.5,2.5,3.0,neu,"[['fru'], ['neu'], ['neu'], ['neu', 'dis']]",[  20   22   18 ... -248 -282 -314],I don't know.  Isn't that-- that's all like escort services and things like that.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
43.35,45.7596,Ses01F_impro04_F005,3.0,2.0,2.5,neu,"[['fru'], ['neu'], ['neu'], ['neu']]",[ 57  69  77 ...  -4 -51 -69],He just...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
46.2735,49.83,Ses01F_impro04_F006,3.0,3.5,3.5,neu,"[['fru'], ['neu'], ['neu'], ['neu', 'oth']]",[-90 -77 -98 ... 788 509 420],you know what?  I heard about that job.  I applied for that.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
58.71,60.0937,Ses01F_impro04_F009,2.5,2.5,2.5,neu,"[['fru'], ['neu'], ['neu'], ['dis', 'ang']]",[-134  -98  -65 ...  -84  -65   -6],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
76.49,80.7269,Ses01F_impro04_F013,3.0,3.5,3.5,neu,"[['fru'], ['neu'], ['neu'], ['dis', 'ang']]",[ 39  73 100 ...   4 -30 -32],I just- I mean I call people up and I tell them what I'm good at.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
85.49,86.98,Ses01F_impro04_F014,2.5,3.0,2.5,neu,"[['fru'], ['neu'], ['neu'], ['exc', 'ang']]",[ -14   36   88 ...  256  -16 -265],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
170.83,172.84,Ses01F_impro04_F028,2.0,3.5,3.5,ang,"[['ang'], ['ang'], ['fru'], ['exc', 'dis', 'ang']]",[ -75  -98  -85 ...  -53 -211 -214],I'm not frustrated.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
175.27,178.43,Ses01F_impro04_F029,1.5,4.0,4.0,ang,"[['ang'], ['ang'], ['fru'], ['dis', 'ang']]",[468 333 208 ...   6   8   4],Who do you think you are?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
180.3025,183.4875,Ses01F_impro04_F030,1.5,3.5,4.0,ang,"[['ang'], ['ang'], ['ang'], ['exc', 'sur', 'ang']]",[ 85  70  53 ...   0 -48 -80],You are so high and mighty.  I just--,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
184.47,188.87,Ses01F_impro04_F031,1.5,3.0,3.5,ang,"[['ang'], ['ang'], ['ang'], ['fru', 'dis', 'ang']]",[ 62  47  50 ... 366 406 406],Oh.  I'm saving the environment. I'm riding this car because I- I want to.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
189.12,192.02,Ses01F_impro04_F032,2.0,3.5,3.5,ang,"[['ang'], ['ang'], ['fru'], ['fru', 'dis', 'ang']]",[-120 -106 -102 ...  780  733  634],"The bus, I'm riding the bus because I want to.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
193.5875,199.4325,Ses01F_impro04_F033,1.5,3.5,4.5,ang,"[['ang'], ['ang'], ['ang'], ['dis', 'ang']]",[ -72  -83 -110 ... -110 -121 -130],I can not-- you are not here by choice.  Nobody would ride this bus by choice.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
2.7418,6.6575,Ses01F_impro04_M000,3.0,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-148   32  122 ...  243  148  240],"Have you tried, uh, Craig's List?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
10.46,12.13,Ses01F_impro04_M001,3.0,2.5,2.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ -600  -945 -1339 ...    29    75    40],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
15.64,18.9,Ses01F_impro04_M002,3.0,2.5,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 290  130 -115 ...  -21  -22  -18],No.  There's regular jobs on there.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
26.91,28.71,Ses01F_impro04_M003,3.0,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[  6 -13 -24 ... 907 848 803],Uh huh.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
30.88,35.5225,Ses01F_impro04_M004,3.0,3.0,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 72  91  99 ...   1 -25 -25],I'm just saying I have a friend that got a good job on it so I was just recommending it.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
37.19,40.53,Ses01F_impro04_M005,3.0,3.0,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-37 -46 -35 ...  52  40  51],He's like a manager for a theatre.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
40.54,43.576,Ses01F_impro04_M006,3.0,3.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-44 -19   4 ...  24  35  41],He's like a house manager. Yeah.  It's a good job.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
49.39,50.58,Ses01F_impro04_M007,3.5,3.0,2.5,neu,"[['neu'], ['sur'], ['neu'], ['sur']]",[-2050 -3044 -2882 ...  2405  1209 -1493],You did?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
55.21,56.33,Ses01F_impro04_M008,3.0,3.0,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[1003 1441 1702 ...  -74  -79  -47],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
56.35,59.0245,Ses01F_impro04_M009,3.0,3.0,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-122 -124 -104 ...   78   89   91],You've been looking for a job for a long time; that was a long time ago.  Right?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
59.8,61.55,Ses01F_impro04_M010,3.0,2.5,2.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ -50  -62  -60 ... 1573 1629 1654],Hmm.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
65.97,69.77,Ses01F_impro04_M011,3.0,3.0,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[174 206 205 ... 548 865 756],I don't know.  He had a really good resume I guess and--,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
70.38,72.7264,Ses01F_impro04_M012,3.0,3.0,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-277 -266 -314 ...  -38  -42  -59],Yeah.  Do you have a resume?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
73.7473,77.15,Ses01F_impro04_M013,3.0,2.0,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-42 -44 -66 ...   9  37 -10],It's kind of helpful when getting a job.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
80.1435,87.81,Ses01F_impro04_M014,3.5,3.5,3.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-177  -94  -50 ...  261  169  121],Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
92.37,99.27,Ses01F_impro04_M015,2.5,3.5,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 597 -179 -695 ... 1445 1799 1995],"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
100.485,103.47,Ses01F_impro04_M016,3.0,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 67  91 111 ... 499 418 654],"Yeah.  But the piece of paper helps, too.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
104.97,107.78,Ses01F_impro04_M017,3.0,3.5,3.0,neu,"[['neu'], ['fru'], ['neu'], ['neu']]",[ 240  225  237 ...  373 2705 4336],"No.  But it has an outline, you know.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
111.66,117.725,Ses01F_impro04_M018,3.0,3.5,3.0,neu,"[['neu'], ['neu'], ['neu'], ['fru', 'neu']]",[-181 -171 -173 ...   88  -60  -24],"I know.  Okay.  Well, um. Maybe--",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
118.46,119.77,Ses01F_impro04_M019,3.0,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-467 -261 -196 ...  -61  -57  -38],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
121.5,123.42,Ses01F_impro04_M020,3.0,2.5,2.5,neu,"[['neu'], ['fru'], ['neu'], ['neu']]",[-1864 -2105 -2279 ...  -279   684  -255],"Okay, yeah.  I would imagine.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
129.43,139.16,Ses01F_impro04_M021,3.5,3.5,3.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[   81 -1521 -1738 ...    23    49    29],"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
139.5219,141.8225,Ses01F_impro04_M022,3.0,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 95  82  83 ... -58 -56 -62],maybe get a car.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
144.9125,149.51,Ses01F_impro04_M023,2.5,2.5,2.0,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[ 70  55  63 ... 193 114 205],"I just, you know, think you should try a little harder maybe.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
151.84,154.03,Ses01F_impro04_M024,3.0,2.5,3.0,neu,"[['neu'], ['neu'], ['neu'], ['sur']]",[ 52 127 148 ...  65  77 113],I didn't say that.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
154.6,157.8,Ses01F_impro04_M025,3.0,3.5,3.5,neu,"[['oth'], ['neu'], ['neu'], ['neu']]",[-1370 -1315 -1587 ...    49    48    48],"I am riding the bus, but by choice.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
